"Data Cache: Reflectometry Data"
"Start logging at 11/05/2024 15:07:17"
"Current index value = 1978"
Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.659622252	0.113262	0.333291	0	0	15:49:53.748	
0.659633994	0.0821326	0.3444	0	0	15:49:54.755	
0.659645677	0.0876652	0.344774	0	0	15:49:55.761	
0.659657538	0.139281	0.344774	0	0	15:49:56.777	
0.659669101	0.204372	0.344774	0	0	15:49:57.788	
0.659680486	0.271843	0.344508	0	0	15:49:58.800	
0.659692228	0.284544	0.339686	0	0	15:49:59.810	
0.65970391	0.284544	0.313827	0	0	15:50:00.823	
0.659715772	0.284544	0.27787	0	0	15:50:01.833	
0.659727216	0.284544	0.261497	0	0	15:50:02.837	
0.659739077	0.27084	0.272984	0	0	15:50:03.847	
0.6597507	0.187481	0.302316	0	0	15:50:04.858	
0.659762442	0.105742	0.332404	0	0	15:50:05.873	
0.659774065	0.0795652	0.341231	0	0	15:50:06.878	
0.659785926	0.0922417	0.341413	0	0	15:50:07.891	
0.65979749	0.142634	0.341413	0	0	15:50:08.902	
0.659809172	0.226639	0.341413	0	0	15:50:09.912	
0.659821033	0.283371	0.341195	0	0	15:50:10.929	
0.659832597	0.288559	0.333375	0	0	15:50:11.939	
0.659844339	0.288559	0.306794	0	0	15:50:12.948	
0.659855962	0.288559	0.269115	0	0	15:50:13.961	
0.659867823	0.288559	0.26074	0	0	15:50:14.975	
0.659879327	0.268378	0.271594	0	0	15:50:15.980	
0.659891188	0.164191	0.304523	0	0	15:50:16.986	
0.659902751	0.099689	0.331457	0	0	15:50:17.998	
0.659914494	0.0773394	0.338908	0	0	15:50:19.12	
0.659926116	0.0904073	0.339032	0	0	15:50:20.26	
0.659938037	0.146114	0.339032	0	0	15:50:21.42	
0.65994966	0.207077	0.339032	0	0	15:50:22.58	
0.659961522	0.259622	0.338566	0	0	15:50:23.70	
0.659973145	0.26263	0.331065	0	0	15:50:24.79	
0.659984887	0.26263	0.300586	0	0	15:50:25.86	
0.659996271	0.26263	0.266482	0	0	15:50:26.98	
0.660008013	0.26263	0.26116	0	0	15:50:27.110	
0.660019755	0.249882	0.270557	0	0	15:50:28.123	
0.660031378	0.158535	0.307665	0	0	15:50:29.134	
0.66004324	0.0946893	0.332218	0	0	15:50:30.134	
0.660054862	0.0744482	0.338094	0	0	15:50:31.149	
0.660066605	0.094957	0.338192	0	0	15:50:32.157	
0.660078168	0.158603	0.338192	0	0	15:50:33.172	
0.66008991	0.237045	0.338192	0	0	15:50:34.174	
0.660101533	0.27213	0.337366	0	0	15:50:35.180	
0.660113275	0.274792	0.325823	0	0	15:50:36.182	
0.660124898	0.274792	0.292948	0	0	15:50:37.195	
0.660136759	0.274792	0.256227	0	0	15:50:38.203	
0.660148203	0.273988	0.262562	0	0	15:50:39.214	
0.660160124	0.245369	0.276688	0	0	15:50:40.228	
0.660171747	0.136024	0.312903	0	0	15:50:41.240	
0.660183609	0.0862757	0.332731	0	0	15:50:42.255	
0.660195172	0.0705703	0.336652	0	0	15:50:43.268	
0.660206914	0.0955307	0.336652	0	0	15:50:44.278	
0.660218596	0.150194	0.336652	0	0	15:50:45.293	
0.660230458	0.217273	0.336652	0	0	15:50:46.307	
0.660242021	0.249138	0.334649	0	0	15:50:47.310	
0.660253763	0.252763	0.321435	0	0	15:50:48.323	
0.660265326	0.252763	0.296136	0	0	15:50:49.338	
0.660276949	0.252763	0.258039	0	0	15:50:50.349	
0.660288692	0.251412	0.259495	0	0	15:50:51.362	
0.660300136	0.210703	0.27312	0	0	15:50:52.377	
0.660311997	0.117699	0.315803	0	0	15:50:53.390	
0.660323441	0.0853247	0.333893	0	0	15:50:54.402	
0.660335362	0.071195	0.337212	0	0	15:50:55.413	
