"Data Cache: Temp PI Data"
"Start logging at 11/05/2024 15:07:26"
"Current index value = 1987"
Day Fraction	Raw Ratio	Ratio Temp	Emiss Temp	Err Ratio Temp	Err Emiss Temp	Time	
0.633985162	1.14488	586.554	592.704	0	0	15:12:58.925	
0.633996904	1.1414	587.407	593.743	0	0	15:12:59.934	
0.634008348	1.13545	588.864	595.75	0	0	15:13:00.942	
0.634020209	1.13085	589.991	597.303	0	0	15:13:01.945	
0.634031713	1.12137	592.315	597.195	0	0	15:13:02.956	
0.634043574	1.10898	595.349	598.286	0	0	15:13:03.968	
0.634055018	1.10996	595.111	599.491	0	0	15:13:04.978	
0.63406688	1.10273	596.882	599.395	0	0	15:13:05.991	
0.634078503	1.10365	596.657	599.491	0	0	15:13:07.2	
0.634090245	1.10352	596.687	599.44	0	0	15:13:08.16	
0.634101868	1.11665	593.47	599.697	0	0	15:13:09.29	
0.634113729	1.11759	593.241	599.546	0	0	15:13:10.44	
0.634125352	1.12932	590.367	599.93	0	0	15:13:11.47	
0.634137213	1.13416	589.181	599.139	0	0	15:13:12.58	
0.634148836	1.13768	588.319	597.207	0	0	15:13:13.72	
0.634160459	1.14103	587.498	596.724	0	0	15:13:14.85	
0.63417232	1.13913	587.964	594.671	0	0	15:13:15.94	
0.634183764	1.14035	587.664	591.227	0	0	15:13:16.105	
0.634195626	1.14059	587.606	590.317	0	0	15:13:17.112	
0.634207249	1.13977	587.805	589.176	0	0	15:13:18.122	
0.634218991	1.13167	589.792	588.107	0	0	15:13:19.124	
0.634230614	1.11963	592.741	587.88	0	0	15:13:20.129	
0.634242475	1.10796	595.6	587.434	0	0	15:13:21.140	
0.634253919	1.0924	599.413	586.711	0	0	15:13:22.152	
0.63426584	1.08364	602.447	586.242	0	0	15:13:23.160	
0.634277403	1.07552	605.57	585.707	0	0	15:13:24.163	
0.634289145	1.06523	609.528	585.212	0	0	15:13:25.179	
0.63430059	1.05455	613.635	585.025	0	0	15:13:26.186	
0.634312451	1.03693	620.412	585.284	0	0	15:13:27.200	
0.634324133	1.01971	627.033	585.379	0	0	15:13:28.212	
0.634335995	1.01849	627.504	586.064	0	0	15:13:29.221	
0.634347558	1.0203	626.809	586.241	0	0	15:13:30.232	
0.6343593	1.02239	626.005	586.327	0	0	15:13:31.233	
0.634371042	1.02762	623.991	586.47	0	0	15:13:32.247	
0.634382725	1.0378	620.077	586.409	0	0	15:13:33.255	
0.634394586	1.05103	614.988	585.831	0	0	15:13:34.258	
0.63440603	1.07669	605.119	585.456	0	0	15:13:35.271	
0.634417892	1.09638	598.436	585.298	0	0	15:13:36.282	
0.634429336	1.10066	597.388	584.839	0	0	15:13:37.294	
0.634441257	1.11521	593.823	584.708	0	0	15:13:38.308	
0.634452879	1.12682	590.979	584.664	0	0	15:13:39.319	
0.634464741	1.12352	591.788	584.783	0	0	15:13:40.330	
0.634476185	1.1206	592.503	584.779	0	0	15:13:41.345	
0.634488106	1.12058	592.508	584.823	0	0	15:13:42.358	
0.634499729	1.12234	592.076	584.747	0	0	15:13:43.371	
0.63451159	1.12354	591.782	584.574	0	0	15:13:44.386	
0.634523213	1.12309	591.894	584.711	0	0	15:13:45.397	
0.634535074	1.10972	595.168	585.174	0	0	15:13:46.409	
0.634546578	1.09579	598.58	585.932	0	0	15:13:47.421	
0.634558439	1.09259	599.367	586.731	0	0	15:13:48.422	
0.634570003	1.07954	604.024	587.12	0	0	15:13:49.433	
0.634581745	1.07813	604.565	588.053	0	0	15:13:50.448	
0.634593368	1.0849	601.962	589.43	0	0	15:13:51.449	
0.63460511	1.08634	601.409	590.407	0	0	15:13:52.463	
0.634616673	1.08933	600.257	590.678	0	0	15:13:53.458	
0.634628236	1.10035	597.463	590.53	0	0	15:13:54.463	
0.634639978	1.11052	594.973	591.546	0	0	15:13:55.477	
0.634651542	1.12126	592.341	591.423	0	0	15:13:56.483	
0.634663284	1.13657	588.59	591.974	0	0	15:13:57.488	
0.634674907	1.14173	587.327	594.216	0	0	15:13:58.501	
0.634686649	1.13987	587.783	594.52	0	0	15:13:59.512	
0.634698272	1.13581	588.778	596.223	0	0	15:14:00.525	
0.634710133	1.13216	589.67	599.095	0	0	15:14:01.533	
0.634721637	1.12026	592.586	599.202	0	0	15:14:02.543	
0.634733498	1.11537	593.786	599.622	0	0	15:14:03.555	
0.634745061	1.1044	596.473	602.057	0	0	15:14:04.566	
0.634756804	1.09626	598.466	602.115	0	0	15:14:05.574	
0.634768546	1.09739	598.189	602.44	0	0	15:14:06.582	
0.634780169	1.09708	598.266	602.51	0	0	15:14:07.585	
0.634791911	1.09997	597.556	602.221	0	0	15:14:08.595	
0.634803295	1.10969	595.176	602.35	0	0	15:14:09.602	
0.634815037	1.1165	593.508	602.574	0	0	15:14:10.616	
0.634826601	1.12205	592.148	602.362	0	0	15:14:11.629	
0.634838343	1.13752	588.357	594.891	0	0	15:14:12.640	
0.634850025	1.14782	585.834	592.443	0	0	15:14:13.649	
0.634861887	1.14869	585.621	591.805	0	0	15:14:14.664	
0.634873629	1.15331	584.488	589.626	0	0	15:14:15.668	
0.634885192	1.15371	584.39	588.376	0	0	15:14:16.681	
0.634896994	1.15035	585.214	587.344	0	0	15:14:17.688	
0.634908557	1.15674	583.648	585.729	0	0	15:14:18.690	
0.634920299	1.15001	585.297	585.211	0	0	15:14:19.703	
0.634931922	1.14035	587.664	584.431	0	0	15:14:20.713	
0.634943783	1.14108	587.487	582.698	0	0	15:14:21.715	
0.634955406	1.14371	586.841	581.399	0	0	15:14:22.729	
0.634967148	1.15132	584.976	580.185	0	0	15:14:23.733	
0.634978771	1.15038	585.206	578.625	0	0	15:14:24.743	
